name,nominated,won,xpos,ypos,,
Charlton Heston ,1,1,292.22754,105.429825,,"{'name' : 'Charlton Heston ', 'value':1},"
Ed Wynn ,1,0,979.29395,518.4521,,"{'name' : 'Ed Wynn ', 'value':1},"
George C. Scott ,4,1,244.59335,490.63766,,"{'name' : 'George C. Scott ', 'value':4},"
Hugh Griffith ,2,1,451.85944,601.02893,,"{'name' : 'Hugh Griffith ', 'value':2},"
Laurence Harvey ,1,0,10.365667,308.60684,,"{'name' : 'Laurence Harvey ', 'value':1},"
Robert Vaughn ,1,0,1255.4376,672.76514,,"{'name' : 'Robert Vaughn ', 'value':1},"
Chill Wills ,1,0,576.9736,392.5359,,"{'name' : 'Chill Wills ', 'value':1},"
Jack Kruschen ,1,0,1270.05,325.66467,,"{'name' : 'Jack Kruschen ', 'value':1},"
Peter Falk ,2,0,738.0128,22.72212,,"{'name' : 'Peter Falk ', 'value':2},"
Trevor Howard ,1,0,588.11005,489.48697,,"{'name' : 'Trevor Howard ', 'value':1},"
George Chakiris ,1,1,910.3549,644.1993,,"{'name' : 'George Chakiris ', 'value':1},"
Jackie Gleason ,1,0,877.9483,638.39087,,"{'name' : 'Jackie Gleason ', 'value':1},"
Maximilian Schell ,3,1,29.849987,192.9534,,"{'name' : 'Maximilian Schell ', 'value':3},"
Stuart Whitman ,1,0,723.3317,102.66431,,"{'name' : 'Stuart Whitman ', 'value':1},"
Ed Begley ,1,1,723.24945,82.764465,,"{'name' : 'Ed Begley ', 'value':1},"
Marcello Mastroianni ,3,0,522.9657,670.03955,,"{'name' : 'Marcello Mastroianni ', 'value':3},"
Omar Sharif ,1,0,646.6894,397.71368,,"{'name' : 'Omar Sharif ', 'value':1},"
Peter O'Toole ,8,0,79.59993,436.1745,,"{'name' : 'Peter O'Toole ', 'value':8},"
Telly Savalas ,1,0,131.74704,241.23859,,"{'name' : 'Telly Savalas ', 'value':1},"
Terence Stamp ,1,0,804.94824,224.01656,,"{'name' : 'Terence Stamp ', 'value':1},"
Victor Buono ,1,0,1138.7675,647.3486,,"{'name' : 'Victor Buono ', 'value':1},"
Albert Finney ,5,0,408.9343,466.00763,,"{'name' : 'Albert Finney ', 'value':5},"
Bobby Darin ,1,0,252.95111,710.05,,"{'name' : 'Bobby Darin ', 'value':1},"
John Huston ,1,0,462.37903,690.3754,,"{'name' : 'John Huston ', 'value':1},"
Melvyn Douglas ,3,2,1048.1897,361.01508,,"{'name' : 'Melvyn Douglas ', 'value':3},"
